               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 131,            0.036773,           0.0081344,           0.0087764,             0.99296,                   1,               0.995,             0.80013,            0.012682,           0.0032934,           0.0017906,            0.007426,            0.007426,            0.007426
                 132,            0.029222,            0.008092,           0.0042211,             0.99351,                   1,               0.995,             0.80279,            0.011054,           0.0029749,           0.0017334,           0.0074062,           0.0074062,           0.0074062
                 133,            0.028568,           0.0083525,           0.0054803,             0.99325,                   1,               0.995,             0.82618,           0.0095757,           0.0028737,           0.0017975,           0.0073864,           0.0073864,           0.0073864
                 134,            0.031492,           0.0085382,           0.0079333,             0.99395,                   1,               0.995,              0.8474,            0.011104,           0.0028376,            0.001867,           0.0073666,           0.0073666,           0.0073666
                 135,            0.022078,           0.0076521,            0.005273,             0.99487,                   1,               0.995,             0.87103,           0.0086894,           0.0027882,           0.0018394,           0.0073468,           0.0073468,           0.0073468
                 136,            0.028998,           0.0072509,           0.0074499,             0.99427,             0.99884,               0.995,             0.78679,            0.013259,           0.0031571,           0.0019801,            0.007327,            0.007327,            0.007327
                 137,            0.025083,           0.0077641,           0.0080194,             0.98767,             0.99508,               0.995,             0.85257,           0.0094962,           0.0030031,           0.0030835,           0.0073072,           0.0073072,           0.0073072
                 138,            0.029745,           0.0084294,            0.017581,              0.9804,             0.98903,             0.99435,             0.81422,            0.010771,           0.0031464,           0.0035852,           0.0072874,           0.0072874,           0.0072874
                 139,            0.029093,           0.0077565,           0.0053602,             0.88434,             0.99433,             0.99376,             0.73734,            0.015648,            0.003458,           0.0054383,           0.0072676,           0.0072676,           0.0072676
                 140,            0.026397,            0.007579,           0.0055819,             0.86194,              0.9184,             0.97143,             0.79758,            0.012601,           0.0032359,            0.006455,           0.0072478,           0.0072478,           0.0072478
                 141,            0.028519,           0.0067192,           0.0053795,             0.94674,             0.95133,               0.995,             0.83757,            0.011247,           0.0032529,           0.0051433,            0.007228,            0.007228,            0.007228
                 142,            0.024887,           0.0064063,           0.0059701,             0.96434,             0.96548,               0.995,             0.85416,            0.013457,           0.0031119,           0.0039946,           0.0072082,           0.0072082,           0.0072082
                 143,             0.02985,           0.0083153,            0.014423,             0.96873,             0.93333,             0.98026,             0.71913,            0.014501,           0.0045821,           0.0041066,           0.0071884,           0.0071884,           0.0071884
                 144,            0.033244,           0.0072682,           0.0071814,             0.95968,             0.93333,             0.98239,             0.72841,            0.015995,           0.0041076,           0.0042236,           0.0071686,           0.0071686,           0.0071686
                 145,            0.029753,           0.0066419,           0.0055557,             0.97084,             0.96646,             0.99425,             0.78903,            0.012785,           0.0041067,           0.0040155,           0.0071488,           0.0071488,           0.0071488
                 146,            0.024254,           0.0074742,           0.0053713,              0.9829,             0.94978,             0.99481,             0.70342,              0.0159,           0.0039707,           0.0042907,            0.007129,            0.007129,            0.007129
                 147,            0.030355,           0.0068971,           0.0076184,             0.95369,             0.94922,             0.99481,             0.82192,            0.011873,           0.0035786,           0.0050443,           0.0071092,           0.0071092,           0.0071092
                 148,            0.021575,           0.0072605,           0.0045441,             0.92104,             0.98164,             0.98526,             0.80203,            0.012492,           0.0036931,           0.0056148,           0.0070894,           0.0070894,           0.0070894
                 149,            0.020215,           0.0076473,           0.0040242,             0.97859,             0.99553,             0.99461,             0.81848,            0.014351,           0.0033858,           0.0025597,           0.0070696,           0.0070696,           0.0070696
                 150,            0.029152,           0.0077554,           0.0063138,             0.99433,                   1,               0.995,             0.85342,           0.0096552,           0.0030899,           0.0014116,           0.0070498,           0.0070498,           0.0070498
                 151,             0.03849,           0.0082268,            0.010979,             0.99403,                   1,               0.995,             0.83465,            0.011505,             0.00325,           0.0014312,             0.00703,             0.00703,             0.00703
                 152,            0.029097,           0.0084279,           0.0067679,             0.98747,                   1,               0.995,             0.82606,            0.012706,           0.0035786,           0.0015141,           0.0070102,           0.0070102,           0.0070102
                 153,            0.032078,           0.0078022,           0.0082275,             0.95071,             0.99333,             0.99301,             0.65504,            0.014336,           0.0057366,            0.002042,           0.0069904,           0.0069904,           0.0069904
                 154,            0.030756,           0.0081707,            0.004229,             0.91668,                0.98,             0.97877,             0.60554,            0.015642,           0.0061815,           0.0032683,           0.0069706,           0.0069706,           0.0069706
